,What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
231,24,Bachelor Level,Female,3.02,3.11,18,PC,0,Yes,4,IGA,Not regular,Paid,1,negative,Excited,Stressed,Yes,Yes,Yes
232,23,Bachelor Level,Female,3.85,3.95,18,PC,1,No,4,FREE FIRE,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,Yes
233,30,Master's Level,Male,3.85,3.34,17,PC,0,No,3,CALL OF DUTY,Regular,Paid,2,negative,Bored,No feeling,No,No,No
234,27,Master's Level,Male,3.58,4.5,24,PC,1,No,4,PES,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,Yes,No
235,21,Bachelor Level,Male,3.54,4.51,16,Mobile,23,No,6,FIFA,Not regular,Paid,3,negative,Excited,Excited to complete level,No,Yes,No
236,24,Bachelor Level,Male,2.94,4.0,20,Mobile,22,No,5,FREE FIRE,Regular,Paid,1,negative,Excited,Stressed,Yes,Yes,No
237,26,Master's Level,Female,2.34,4.51,23,PC,23,No,4,COC,Regular,Paid,3,positive,Excited,No feeling,No,Yes,Yes
238,28,Master's Level,Female,2.7,5.0,22,PC,22,No,4,PUBG,Regular,Paid,3,negative,Bored,Excited to complete level,No,Yes,Yes
239,30,Master's Level,Male,3.87,4.5,20,PC,2,Yes,4,COC,Not regular,Paid,2,negative,Bored,No feeling,No,Yes,No
240,23,Bachelor Level,Female,3.08,3.51,23,Mobile,22,No,5,PES,Regular,Paid,3,positive,Bored,Excited to complete level,No,No,Yes
241,30,Master's Level,Female,3.84,4.83,18,Mobile,22,No,4,COC,Not regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,No
242,27,Master's Level,Male,3.09,4.6,19,Mobile,2,No,6,PES,Not regular,Paid,1,negative,Bored,No feeling,Yes,No,No
243,20,Bachelor Level,Female,3.06,4.8,24,Mobile,23,Yes,2,FREE FIRE,Not regular,Paid,3,negative,Excited,Stressed,Yes,No,No
244,25,Bachelor Level,Male,3.33,4.5,23,Mobile,1,Yes,3,PUBG,Not regular,Paid,1,negative,Excited,Excited to complete level,Yes,Yes,Yes
245,22,Bachelor Level,Female,2.99,4.81,17,PC,23,Yes,6,FREE FIRE,Regular,Paid,1,negative,Bored,Stressed,No,No,Yes
246,21,Bachelor Level,Male,3.78,4.9,24,Mobile,0,Yes,6,PUBG,Regular,Paid,2,positive,Excited,Excited to complete level,No,No,No
247,21,Bachelor Level,Female,2.72,5.0,16,PC,1,Yes,2,FIFA,Regular,Paid,2,negative,Excited,No feeling,Yes,Yes,No
248,29,Master's Level,Female,3.17,3.69,20,Mobile,0,No,3,FREE FIRE,Regular,Paid,1,negative,Excited,Excited to complete level,No,No,No
249,27,Master's Level,Male,3.57,4.52,17,Mobile,22,Yes,2,CALL OF DUTY,Regular,Paid,1,negative,Bored,Excited to complete level,No,No,No
250,25,Bachelor Level,Female,4.0,4.5,22,PC,23,Yes,5,IGA,Not regular,Paid,1,positive,Bored,No feeling,Yes,No,No
251,26,Master's Level,Female,2.68,4.49,23,PC,22,No,3,FREE FIRE,Regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,No
252,24,Bachelor Level,Female,2.84,4.0,18,Mobile,1,No,4,CALL OF DUTY,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,Yes,Yes
253,30,Master's Level,Female,3.21,3.77,16,Mobile,0,Yes,4,COC,Regular,Paid,2,negative,Bored,No feeling,Yes,No,Yes
254,25,Bachelor Level,Male,2.94,4.53,17,PC,23,Yes,6,IGA,Regular,Paid,1,negative,Bored,Excited to complete level,No,No,Yes
255,23,Bachelor Level,Male,3.46,3.62,21,PC,2,Yes,6,FREE FIRE,Regular,Paid,1,negative,Bored,No feeling,No,No,Yes
256,21,Bachelor Level,Male,3.34,4.5,22,PC,1,No,3,CALL OF DUTY,Not regular,Paid,3,negative,Bored,Stressed,Yes,No,Yes
257,23,Bachelor Level,Male,2.9,3.33,20,PC,1,No,4,COC,Not regular,Paid,2,negative,Bored,Stressed,Yes,Yes,Yes
258,20,Bachelor Level,Male,2.32,4.6,20,Mobile,1,Yes,3,FIFA,Not regular,Paid,1,negative,Excited,Stressed,Yes,Yes,No
259,22,Bachelor Level,Female,3.5,3.52,22,PC,1,No,5,FREE FIRE,Regular,Paid,3,negative,Bored,Excited to complete level,Yes,No,Yes
260,21,Bachelor Level,Male,2.83,5.0,19,PC,22,No,3,PES,Regular,Paid,3,negative,Bored,Stressed,No,No,No
261,26,Master's Level,Female,2.62,3.29,22,PC,1,No,5,CALL OF DUTY,Not regular,Paid,2,negative,Excited,No feeling,Yes,No,No
262,30,Master's Level,Female,2.74,3.81,24,PC,2,Yes,5,CALL OF DUTY,Not regular,Paid,1,positive,Bored,Excited to complete level,Yes,Yes,Yes
263,29,Master's Level,Female,3.28,4.79,20,Mobile,22,Yes,3,COC,Regular,Paid,2,positive,Excited,Excited to complete level,Yes,No,Yes
264,27,Master's Level,Female,2.73,4.33,16,PC,23,No,5,PES,Not regular,Paid,3,positive,Excited,Stressed,Yes,Yes,No
265,21,Bachelor Level,Female,3.52,4.82,23,PC,2,No,6,FREE FIRE,Not regular,Paid,3,negative,Bored,Stressed,Yes,Yes,Yes
266,28,Master's Level,Male,3.79,3.87,16,Mobile,23,No,4,CALL OF DUTY,Not regular,Paid,3,negative,Excited,No feeling,No,Yes,Yes
267,20,Bachelor Level,Female,3.73,4.85,18,Mobile,23,Yes,3,FIFA,Not regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,Yes
268,29,Master's Level,Female,3.48,3.03,21,Mobile,2,Yes,3,CALL OF DUTY,Not regular,Paid,2,negative,Excited,No feeling,Yes,Yes,No
269,30,Master's Level,Male,3.53,3.04,18,PC,22,No,2,PUBG,Regular,Paid,3,negative,Bored,Excited to complete level,No,Yes,Yes
270,21,Bachelor Level,Male,2.95,3.14,16,PC,23,Yes,2,PES,Regular,Paid,3,positive,Bored,Stressed,Yes,No,Yes
271,27,Master's Level,Female,3.68,4.99,18,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,1,negative,Excited,Stressed,No,No,Yes
272,30,Master's Level,Female,3.99,3.5,20,Mobile,1,Yes,3,COC,Not regular,Paid,1,positive,Bored,Excited to complete level,Yes,No,Yes
273,27,Master's Level,Male,3.2,5.0,21,PC,0,No,3,PUBG,Not regular,Paid,3,negative,Bored,Stressed,No,Yes,Yes
274,21,Bachelor Level,Male,3.0,4.0,15,Mobile,2,No,2,PES,Not regular,Non Paid,5,positive,Excited,Excited to complete level,Yes,Yes,No
275,21,Bachelor Level,Male,3.9,5.0,16,Mobile,0,Yes,3,FIFA,Not regular,Non Paid,6,neutral,Excited,No feeling,Yes,No,No
279,22,Bachelor Level,Female,4.0,3.8,19,PC,23,Yes,4,FREE FIRE,Not regular,Non Paid,2,negative,Bored,Excited to complete level,Yes,No,No
280,26,Master's Level,Female,3.0,3.6,22,Mobile,1,No,2,FREE FIRE,Not regular,Paid,2,negative,Excited,Stressed,Yes,No,Yes
281,22,Bachelor Level,Female,3.0,4.0,3,PC,23,Yes,3,PES,Not regular,Non Paid,3,negative,Excited,No feeling,Yes,Yes,No
282,27,Master's Level,Male,3.5,5.0,20,Mobile,2,Yes,4,IGA,Regular,Paid,4,negative,Excited,Excited to complete level,Yes,Yes,No
283,22,Bachelor Level,Male,3.0,4.0,20,PC,0,Yes,3,COC,Regular,Paid,2,negative,Bored,No feeling,Yes,Yes,Yes
284,26,Master's Level,Female,3.3,4.58,22,PC,1,Yes,3,PUBG,Not regular,Non Paid,2,positive,Excited,Stressed,Yes,Yes,Yes
285,25,Bachelor Level,Male,3.8,5.0,22,PC,0,No,2,FIFA,Regular,Paid,2,negative,Excited,Excited to complete level,Yes,Yes,Yes
286,24,Bachelor Level,Male,3.0,4.63,20,Mobile,0,Yes,2,PUBG,Regular,Paid,2,negative,Bored,Stressed,Yes,Yes,Yes
287,26,Master's Level,Female,3.0,4.0,22,Mobile,2,Yes,2,PUBG,Regular,Paid,2,negative,Excited,Excited to complete level,Yes,Yes,Yes
288,24,Bachelor Level,Male,3.0,4.59,22,Mobile,1,Yes,3,COC,Regular,Paid,3,negative,Bored,Stressed,Yes,Yes,Yes
289,26,Master's Level,Female,4.0,3.0,22,Mobile,1,Yes,2,COC,Not regular,Non Paid,1,negative,Excited,Excited to complete level,Yes,Yes,Yes
290,25,Master's Level,Female,3.3,3.37,21,PC,2,No,3,FIFA,Not regular,Paid,3,positive,Bored,Stressed,Yes,No,Yes
291,24,Bachelor Level,Female,3.25,4.0,19,PC,0,Yes,6,PUBG,Regular,Non Paid,2,negative,Bored,Excited to complete level,No,Yes,Yes
292,27,Master's Level,Female,4.0,5.0,22,Mobile,23,No,5,CALL OF DUTY,Regular,Non Paid,3,negative,Excited,Stressed,No,No,No
293,18,Bachelor Level,Male,4.0,4.73,19,PC,22,No,3,FIFA,Not regular,Paid,2,negative,Excited,Excited to complete level,No,No,Yes
294,18,Bachelor Level,Female,2.53,3.03,18,PC,2,No,4,PES,Regular,Paid,2,negative,Bored,No feeling,Yes,No,Yes
295,22,Bachelor Level,Female,3.19,4.29,18,PC,1,No,4,IGA,Not regular,Non Paid,2,negative,Bored,No feeling,No,Yes,No
297,27,Master's Level,Male,4.0,2.33,24,Mobile,23,No,4,PES,Not regular,Non Paid,4,negative,Excited,No feeling,No,No,Yes
298,24,Bachelor Level,Female,3.0,4.0,18,Mobile,23,Yes,4,PUBG,Not regular,Non Paid,4,negative,Excited,Excited to complete level,No,No,No
299,24,Bachelor Level,Female,4.0,4.04,20,Mobile,22,No,5,CALL OF DUTY,Not regular,Paid,3,negative,Excited,Excited to complete level,Yes,Yes,No
300,18,Bachelor Level,Male,2.75,4.33,19,PC,1,Yes,6,CALL OF DUTY,Not regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,Yes,No
301,19,Bachelor Level,Female,3.0,4.83,20,PC,22,No,6,PES,Regular,Paid,4,negative,Bored,No feeling,Yes,Yes,Yes
302,27,Master's Level,Male,2.98,4.0,22,PC,0,Yes,2,FIFA,Not regular,Paid,2,negative,Bored,Stressed,Yes,Yes,Yes
303,24,Bachelor Level,Female,3.25,4.43,19,Mobile,23,Yes,4,CALL OF DUTY,Regular,Non Paid,4,negative,Bored,No feeling,Yes,No,No
304,26,Master's Level,Female,3.96,5.0,22,PC,1,No,2,IGA,Not regular,Paid,4,negative,Excited,Stressed,Yes,No,No
305,21,Bachelor Level,Male,3.0,4.55,19,Mobile,23,No,3,FREE FIRE,Regular,Paid,2,positive,Bored,No feeling,No,No,Yes
306,26,Master's Level,Female,2.5,3.0,21,Mobile,22,No,3,CALL OF DUTY,Regular,Paid,2,negative,Bored,No feeling,No,No,No
307,19,Bachelor Level,Male,3.0,4.0,19,Mobile,22,Yes,5,PES,Regular,Non Paid,2,negative,Excited,No feeling,No,Yes,Yes
308,26,Master's Level,Male,3.0,3.18,22,Mobile,1,Yes,3,IGA,Not regular,Paid,3,positive,Bored,Stressed,Yes,Yes,No
309,27,Master's Level,Male,3.5,4.5,21,Mobile,1,No,5,COC,Regular,Paid,2,positive,Bored,No feeling,No,Yes,No
310,27,Master's Level,Male,2.76,4.75,20,Mobile,22,No,6,IGA,Regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,No,No
311,18,Bachelor Level,Female,4.0,4.22,20,PC,1,No,2,CALL OF DUTY,Regular,Paid,2,positive,Bored,Excited to complete level,No,Yes,No
312,19,Bachelor Level,Female,3.19,2.0,19,Mobile,23,Yes,5,FIFA,Regular,Non Paid,3,negative,Bored,No feeling,No,No,Yes
313,20,Bachelor Level,Female,3.04,4.0,20,Mobile,1,No,3,FIFA,Not regular,Non Paid,3,negative,Excited,Stressed,No,Yes,No
315,18,Bachelor Level,Male,3.0,4.5,21,PC,2,Yes,3,PUBG,Not regular,Non Paid,4,negative,Excited,No feeling,No,Yes,Yes
316,28,Master's Level,Male,2.75,4.0,23,PC,22,Yes,6,FIFA,Regular,Paid,2,positive,Bored,Stressed,Yes,No,Yes
317,20,Bachelor Level,Female,3.0,3.59,20,Mobile,23,No,2,IGA,Not regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,Yes,Yes
318,20,Bachelor Level,Female,3.0,4.0,18,Mobile,22,Yes,2,FIFA,Not regular,Paid,4,negative,Excited,No feeling,Yes,Yes,Yes
319,19,Bachelor Level,Male,2.34,3.0,21,PC,23,Yes,3,FREE FIRE,Not regular,Non Paid,2,positive,Bored,No feeling,Yes,Yes,Yes
320,27,Master's Level,Male,3.33,2.0,20,Mobile,1,Yes,5,PES,Regular,Non Paid,4,positive,Excited,No feeling,No,No,Yes
321,23,Bachelor Level,Female,3.1,5.0,20,Mobile,1,Yes,6,COC,Not regular,Paid,3,negative,Excited,No feeling,No,No,Yes
322,24,Bachelor Level,Female,3.0,4.5,20,Mobile,22,Yes,3,IGA,Regular,Non Paid,2,positive,Bored,Excited to complete level,Yes,No,No
323,23,Bachelor Level,Male,4.0,4.75,19,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,No feeling,Yes,No,Yes
324,23,Bachelor Level,Male,3.02,5.0,18,PC,2,No,2,COC,Regular,Non Paid,4,negative,Excited,No feeling,Yes,No,Yes
325,21,Bachelor Level,Female,4.0,2.94,21,Mobile,0,Yes,4,PES,Not regular,Non Paid,4,negative,Excited,Stressed,Yes,Yes,No
326,20,Bachelor Level,Male,3.0,3.5,21,Mobile,2,No,6,FREE FIRE,Not regular,Non Paid,2,negative,Excited,Stressed,No,No,Yes
327,27,Master's Level,Male,4.0,4.45,21,PC,22,No,3,IGA,Regular,Non Paid,4,positive,Bored,Excited to complete level,Yes,Yes,Yes
328,20,Bachelor Level,Male,3.21,5.0,19,PC,1,Yes,3,PUBG,Not regular,Paid,2,negative,Bored,Stressed,No,Yes,Yes
329,19,Bachelor Level,Male,3.0,4.0,18,PC,2,No,6,FIFA,Not regular,Non Paid,4,negative,Excited,Excited to complete level,No,No,No
331,28,Master's Level,Male,3.35,5.0,21,PC,0,No,2,FIFA,Not regular,Paid,2,negative,Excited,Stressed,Yes,No,No
332,24,Bachelor Level,Female,3.0,4.0,19,PC,22,No,5,PES,Regular,Non Paid,2,negative,Bored,Excited to complete level,Yes,No,No
333,18,Bachelor Level,Male,2.0,4.0,19,Mobile,0,Yes,6,COC,Regular,Non Paid,4,positive,Excited,Stressed,No,No,No
334,18,Bachelor Level,Male,4.0,4.22,21,Mobile,0,No,3,FREE FIRE,Regular,Non Paid,4,negative,Bored,Stressed,No,No,No
335,19,Bachelor Level,Male,3.44,4.5,18,Mobile,22,No,6,FIFA,Not regular,Paid,4,positive,Excited,No feeling,No,Yes,Yes
336,27,Master's Level,Male,3.98,3.0,22,PC,23,Yes,4,IGA,Not regular,Paid,2,negative,Excited,No feeling,No,No,No
337,28,Master's Level,Female,3.82,4.65,20,Mobile,2,Yes,4,CALL OF DUTY,Not regular,Non Paid,4,positive,Bored,No feeling,No,No,Yes
338,19,Bachelor Level,Male,2.0,4.15,18,Mobile,2,No,6,PES,Not regular,Non Paid,2,negative,Bored,Stressed,No,No,Yes
339,23,Bachelor Level,Male,2.77,4.71,18,Mobile,0,Yes,3,COC,Regular,Paid,2,negative,Excited,No feeling,No,Yes,No
340,24,Bachelor Level,Female,2.0,3.75,21,PC,2,Yes,3,PES,Not regular,Paid,3,negative,Bored,Stressed,Yes,No,Yes
341,21,Bachelor Level,Female,4.0,4.5,20,PC,23,No,2,CALL OF DUTY,Regular,Paid,4,positive,Bored,No feeling,No,Yes,Yes
343,18,Bachelor Level,Female,3.11,3.5,19,Mobile,2,No,6,FIFA,Regular,Paid,4,negative,Excited,Excited to complete level,No,Yes,No
344,28,Master's Level,Male,3.63,4.0,20,Mobile,23,No,2,COC,Regular,Non Paid,4,negative,Bored,Stressed,No,No,No
345,20,Bachelor Level,Female,3.0,5.0,18,Mobile,2,Yes,2,FIFA,Not regular,Non Paid,4,negative,Bored,Excited to complete level,No,Yes,Yes
346,28,Master's Level,Female,4.0,5.0,21,PC,0,Yes,2,COC,Not regular,Non Paid,4,negative,Bored,No feeling,No,No,No
347,23,Bachelor Level,Male,2.64,4.44,21,PC,1,Yes,2,CALL OF DUTY,Regular,Non Paid,2,positive,Bored,Stressed,Yes,No,No
348,24,Bachelor Level,Female,2.0,4.0,20,PC,22,Yes,5,FREE FIRE,Not regular,Non Paid,2,negative,Excited,Stressed,Yes,Yes,No
349,24,Bachelor Level,Female,3.5,5.0,19,PC,0,No,3,COC,Not regular,Non Paid,4,positive,Bored,No feeling,Yes,Yes,Yes
350,21,Bachelor Level,Male,3.75,3.8,18,Mobile,2,No,6,COC,Not regular,Non Paid,2,negative,Bored,Excited to complete level,Yes,Yes,No
351,26,Master's Level,Male,3.69,4.28,21,Mobile,23,No,6,COC,Regular,Non Paid,2,negative,Excited,Stressed,Yes,No,No
352,28,Master's Level,Male,2.27,3.0,21,PC,22,Yes,2,CALL OF DUTY,Not regular,Paid,2,positive,Bored,Excited to complete level,No,No,Yes
353,26,Master's Level,Male,2.61,4.03,24,Mobile,1,Yes,6,COC,Regular,Non Paid,3,positive,Bored,Excited to complete level,Yes,No,No
354,26,Master's Level,Female,2.43,4.0,22,PC,2,Yes,4,COC,Not regular,Non Paid,3,negative,Bored,Excited to complete level,No,No,Yes
355,28,Master's Level,Female,2.84,4.0,21,Mobile,2,No,3,PES,Regular,Paid,3,negative,Excited,No feeling,No,No,Yes
356,20,Bachelor Level,Female,3.33,3.01,20,PC,22,No,3,FIFA,Not regular,Paid,2,negative,Excited,Stressed,No,Yes,No
357,26,Master's Level,Male,3.36,4.02,24,Mobile,23,Yes,5,CALL OF DUTY,Regular,Non Paid,2,positive,Excited,No feeling,No,Yes,Yes
358,21,Bachelor Level,Male,3.0,5.0,19,PC,22,No,4,IGA,Not regular,Paid,3,negative,Bored,Excited to complete level,No,No,No
359,21,Bachelor Level,Male,3.42,4.0,21,Mobile,2,Yes,3,CALL OF DUTY,Not regular,Non Paid,2,negative,Excited,No feeling,No,Yes,No
360,28,Master's Level,Male,3.0,4.0,23,Mobile,1,Yes,6,FREE FIRE,Regular,Non Paid,2,positive,Excited,Excited to complete level,No,Yes,Yes
361,19,Bachelor Level,Male,2.86,4.45,18,PC,1,No,3,IGA,Regular,Non Paid,4,negative,Bored,Stressed,Yes,No,Yes
362,19,Bachelor Level,Male,3.59,3.0,18,Mobile,23,No,3,CALL OF DUTY,Not regular,Paid,2,negative,Excited,Stressed,No,No,Yes
363,23,Bachelor Level,Male,3.76,4.5,18,PC,23,Yes,5,PES,Not regular,Non Paid,2,negative,Excited,Stressed,No,Yes,No
365,20,Bachelor Level,Male,3.71,5.0,18,Mobile,1,Yes,3,CALL OF DUTY,Regular,Non Paid,2,negative,Excited,Stressed,No,No,No
366,21,Bachelor Level,Female,3.84,4.0,18,PC,0,No,6,FREE FIRE,Regular,Non Paid,4,negative,Excited,Excited to complete level,Yes,Yes,No
367,19,Bachelor Level,Male,2.5,3.0,20,PC,23,Yes,5,PES,Regular,Non Paid,4,negative,Excited,Stressed,Yes,Yes,No
368,24,Bachelor Level,Male,3.0,3.55,20,PC,23,No,4,FREE FIRE,Regular,Non Paid,2,positive,Excited,No feeling,No,No,No
369,22,Bachelor Level,Male,3.2,4.0,19,PC,22,No,6,CALL OF DUTY,Not regular,Paid,3,negative,Excited,Stressed,No,Yes,Yes
370,19,Bachelor Level,Female,2.0,5.0,21,Mobile,22,Yes,5,IGA,Regular,Paid,3,negative,Excited,Stressed,Yes,No,No
371,24,Bachelor Level,Female,3.98,5.0,20,Mobile,23,No,6,CALL OF DUTY,Not regular,Paid,4,negative,Bored,Stressed,No,Yes,Yes
372,22,Bachelor Level,Female,2.79,4.5,19,PC,22,Yes,3,FIFA,Not regular,Paid,4,negative,Bored,Excited to complete level,No,No,Yes
373,24,Bachelor Level,Male,2.4,3.98,18,PC,2,No,4,COC,Regular,Paid,4,negative,Bored,Excited to complete level,Yes,Yes,No
374,24,Bachelor Level,Female,3.0,3.11,18,PC,2,No,2,PUBG,Regular,Non Paid,4,positive,Bored,No feeling,No,Yes,No
375,26,Master's Level,Female,3.0,4.03,21,PC,23,No,5,CALL OF DUTY,Regular,Non Paid,4,negative,Excited,Excited to complete level,No,No,No
376,21,Bachelor Level,Female,3.68,5.0,18,PC,2,Yes,2,PUBG,Regular,Non Paid,3,negative,Excited,No feeling,Yes,No,No
377,23,Bachelor Level,Male,3.85,5.0,19,PC,0,No,2,COC,Not regular,Non Paid,4,negative,Bored,Stressed,Yes,No,No
378,27,Master's Level,Male,3.35,5.0,24,PC,22,No,5,PUBG,Not regular,Non Paid,3,negative,Bored,No feeling,Yes,Yes,Yes
379,24,Bachelor Level,Male,3.0,3.5,21,Mobile,22,Yes,3,PES,Regular,Paid,3,negative,Excited,Stressed,Yes,No,No
380,20,Bachelor Level,Male,4.0,5.0,21,PC,0,Yes,2,FREE FIRE,Regular,Non Paid,3,negative,Bored,Excited to complete level,No,Yes,Yes
381,23,Bachelor Level,Female,3.0,3.93,18,PC,2,No,5,COC,Regular,Non Paid,2,positive,Excited,Excited to complete level,Yes,Yes,Yes
382,25,Master's Level,Male,3.0,4.8,23,PC,22,Yes,3,COC,Not regular,Non Paid,4,negative,Bored,Stressed,Yes,Yes,Yes
383,26,Master's Level,Male,2.2,4.29,24,Mobile,22,No,2,FIFA,Not regular,Non Paid,4,negative,Bored,Stressed,No,Yes,No
384,28,Master's Level,Male,3.0,3.0,22,PC,0,No,2,FIFA,Regular,Non Paid,2,positive,Excited,Excited to complete level,Yes,Yes,No
385,20,Bachelor Level,Female,2.0,3.42,21,PC,1,No,6,COC,Regular,Non Paid,2,negative,Excited,Excited to complete level,No,No,Yes
386,28,Master's Level,Female,4.0,5.0,21,PC,23,Yes,6,PUBG,Regular,Non Paid,2,positive,Bored,No feeling,Yes,Yes,No
387,18,Bachelor Level,Female,2.32,2.61,19,PC,22,Yes,2,CALL OF DUTY,Regular,Non Paid,2,negative,Bored,No feeling,Yes,Yes,No
388,19,Bachelor Level,Male,3.0,3.75,21,Mobile,0,Yes,6,IGA,Not regular,Paid,4,positive,Bored,Excited to complete level,Yes,Yes,No
389,22,Bachelor Level,Male,2.0,3.39,19,Mobile,1,No,3,IGA,Not regular,Non Paid,4,negative,Bored,No feeling,Yes,No,Yes
390,21,Bachelor Level,Male,2.0,3.5,20,Mobile,2,Yes,4,IGA,Regular,Paid,3,positive,Bored,Excited to complete level,Yes,No,No
391,24,Bachelor Level,Male,2.54,3.0,20,Mobile,1,Yes,6,FIFA,Regular,Non Paid,3,negative,Bored,Stressed,Yes,Yes,Yes
392,23,Bachelor Level,Male,3.19,3.0,21,PC,23,Yes,5,PUBG,Regular,Paid,4,negative,Bored,Excited to complete level,Yes,Yes,Yes
393,23,Bachelor Level,Male,3.0,3.0,18,PC,2,Yes,4,IGA,Not regular,Paid,4,negative,Excited,Stressed,Yes,No,No
394,20,Bachelor Level,Female,3.96,5.0,19,Mobile,1,No,3,IGA,Not regular,Paid,2,negative,Bored,Stressed,Yes,Yes,Yes
395,23,Bachelor Level,Female,3.0,4.1,20,Mobile,0,No,6,FREE FIRE,Not regular,Non Paid,3,positive,Bored,No feeling,No,No,No
396,22,Bachelor Level,Male,3.0,3.54,20,Mobile,2,No,4,PUBG,Not regular,Paid,4,negative,Excited,No feeling,Yes,Yes,Yes
397,24,Bachelor Level,Female,2.5,3.81,18,Mobile,22,Yes,5,PUBG,Regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,Yes
398,18,Bachelor Level,Male,2.0,4.2,18,Mobile,23,No,6,CALL OF DUTY,Regular,Paid,3,negative,Bored,Excited to complete level,Yes,No,No
399,19,Bachelor Level,Male,2.0,4.0,18,PC,23,Yes,2,FREE FIRE,Regular,Paid,2,negative,Bored,No feeling,No,No,No
400,23,Bachelor Level,Female,2.19,3.35,21,Mobile,22,No,5,IGA,Regular,Paid,2,negative,Bored,No feeling,No,No,No
402,22,Bachelor Level,Female,3.0,3.51,20,Mobile,23,Yes,2,CALL OF DUTY,Not regular,Paid,4,positive,Bored,Excited to complete level,Yes,No,No
403,28,Master's Level,Female,3.55,5.0,22,Mobile,2,Yes,3,FREE FIRE,Regular,Non Paid,3,negative,Bored,Stressed,Yes,Yes,No
404,24,Bachelor Level,Female,2.56,4.13,20,PC,22,No,6,IGA,Regular,Paid,3,positive,Bored,No feeling,No,No,No
405,21,Bachelor Level,Male,2.0,3.82,21,PC,0,Yes,4,PES,Not regular,Non Paid,4,positive,Excited,No feeling,No,No,Yes
406,27,Master's Level,Male,4.0,4.72,20,PC,0,No,2,FREE FIRE,Not regular,Paid,4,positive,Bored,Excited to complete level,Yes,No,No
407,24,Bachelor Level,Female,3.5,4.0,21,Mobile,23,No,6,FREE FIRE,Not regular,Non Paid,4,negative,Bored,No feeling,No,No,Yes
408,28,Master's Level,Male,3.0,5.0,24,Mobile,22,Yes,5,COC,Regular,Non Paid,4,negative,Bored,Excited to complete level,Yes,No,No
409,26,Master's Level,Female,3.02,4.72,20,Mobile,2,No,2,COC,Regular,Non Paid,4,negative,Bored,Stressed,Yes,Yes,No
410,23,Bachelor Level,Female,4.0,4.0,21,PC,23,Yes,5,COC,Not regular,Paid,4,positive,Excited,Stressed,Yes,Yes,No
411,23,Bachelor Level,Female,3.25,5.0,20,PC,2,No,4,PUBG,Not regular,Paid,3,negative,Bored,Stressed,No,Yes,Yes
412,22,Bachelor Level,Female,2.0,3.75,19,PC,1,No,2,COC,Not regular,Paid,3,negative,Excited,No feeling,Yes,Yes,No
413,28,Master's Level,Male,4.0,4.46,24,Mobile,22,Yes,4,FIFA,Not regular,Non Paid,3,negative,Excited,Stressed,No,No,No
414,26,Master's Level,Female,3.52,5.0,21,PC,22,No,5,COC,Not regular,Paid,3,positive,Bored,Excited to complete level,No,No,Yes
415,18,Bachelor Level,Male,2.0,4.75,20,PC,1,No,3,CALL OF DUTY,Not regular,Non Paid,2,positive,Bored,Excited to complete level,Yes,Yes,Yes
416,19,Bachelor Level,Male,3.41,4.0,19,Mobile,22,No,5,FIFA,Regular,Non Paid,3,negative,Bored,Stressed,No,No,No
417,28,Master's Level,Male,3.23,4.54,22,PC,0,Yes,5,CALL OF DUTY,Regular,Paid,4,negative,Bored,Stressed,Yes,Yes,No
418,23,Bachelor Level,Female,2.0,4.0,19,Mobile,2,No,4,CALL OF DUTY,Not regular,Non Paid,3,negative,Excited,No feeling,No,Yes,Yes
419,27,Master's Level,Male,2.79,3.36,20,Mobile,0,Yes,2,PUBG,Not regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,No
420,23,Bachelor Level,Female,3.05,3.9,18,PC,22,No,3,IGA,Regular,Paid,3,negative,Bored,Excited to complete level,No,No,Yes
421,21,Bachelor Level,Female,2.5,3.0,21,Mobile,2,Yes,6,COC,Not regular,Non Paid,3,negative,Bored,No feeling,No,Yes,No
423,20,Bachelor Level,Female,4.0,4.7,18,PC,23,Yes,2,FREE FIRE,Not regular,Non Paid,4,negative,Excited,No feeling,No,Yes,Yes
424,20,Bachelor Level,Female,2.0,4.02,18,PC,23,No,2,COC,Regular,Non Paid,2,negative,Excited,Stressed,Yes,Yes,No
425,22,Bachelor Level,Female,3.0,4.0,21,PC,23,Yes,6,FIFA,Not regular,Non Paid,2,negative,Bored,Excited to complete level,Yes,Yes,Yes
